# The Kid Computer dictionary
#
# Format: word <TAB> part of speech <TAB> definition
# One line per sense, sorted by word. Edit or delete lines freely; the lookup
# script reads this file directly and nothing needs rebuilding.
#
# Rebuild from source with tools/build-dictionary.py
#
# Definitions come from Simple English Wiktionary
# (https://simple.wiktionary.org), used under CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Text has been
# filtered and truncated; see tools/build-dictionary.py for exactly how.
# Derived text remains under CC BY-SA 4.0.
a-	prefix	a- is a prefix that means "not". When put in front of a word, the meaning of that word reverses.
prioritised	verb	The past tense and past participle of prioritise.
prioritises	verb	The third-person singular form of prioritise.
prioritising	verb	The present participle of prioritise.
prioritization	noun	Prioritization is the process of assigning priorities to tasks.
prioritizations	noun	The plural form of prioritization; more than one (kind of) prioritization.
prioritize	verb	If you prioritize something, you put it first in a group of things in order of their importance.
prioritize	verb	If you prioritize a number of tasks, you rank them in order of their importance.
prioritized	verb	The past tense and past participle of prioritize.
prioritizes	verb	The third-person singular form of prioritize.
prioritizing	verb	The present participle of prioritize.
priority	noun	A priority is something that is important; you want to do it first or spend more time or money on it than other things.
priority	noun	If something has or is given priority, it should go before other things.
prise	verb	If you prise something, you force it open with a lever.
prised	verb	The past tense and past participle of prise.
prises	verb	The third-person singular form of prise.
prising	verb	The present participle of prise.
prism	noun	A prism is a polyhedron with two ends of the same shape and size, the other faces being parallelogram-shaped sides.
prism	noun	A prism is a transparent block in the shape of a prism, typically with triangular ends, used to reflect or refract light.
prisms	noun	The plural form of prism; more than one (kind of) prism.
prison	noun	A place for people who break the law.
prison	noun	A place you cannot escape from.
prisoner	noun	A prisoner is a person imprisoned, while on trial or serving a sentence.
prisoner	noun	Any person held against his or her will is a prisoner.
prisoners	noun	The plural form of prisoner; more than one (kind of) prisoner.
prisons	noun	The plural form of prison; more than one (kind of) prison.
pristine	adj	If something is in pristine condition, it is in its original condition.
privacies	noun	The plural form of privacy; more than one (kind of) privacy.
privacy	noun	If you have privacy, you are not watched or disturbed by others.
private	adj	Private is for only one person or a small number of people to see or know.
private	noun	A private is a soldier in the lowest rank of the army.
privately	adv	If something is done privately, it is done in a private way.
privates	noun	The plural form of private; more than one (kind of) private.
privatisation	noun	Privatization refers to the transfer of a company from being controlled by the government to one that is controlled and owned by the people.
privatisations	noun	The plural form of privatisation; more than one (kind of) privatisation.
privatise	verb	When a government privatises something, it removes government control over an industry or a part of the economy, and let people manage it themselves.
privatise	verb	When you privatize something (such as a variable or function), you make it private and making it only able to be used internally.
privatised	verb	The past tense and past participle of privatise.
privatises	verb	The third-person singular form of privatise.
privatising	verb	The present participle of privatise.
privatization	noun	Privatization refers to the transfer of a company from being controlled by the government and the people to one that is controlled and owned by private business interests.
privatizations	noun	The plural form of privatization; more than one (kind of) privatization.
privatize	verb	When a government privatizes something, it removes government control over an industry or a part of the economy, and let people manage it themselves.
privatize	verb	When you privatize something (such as a variable or function), you make it private and making it only able to be used internally.
privatized	verb	The past tense and past participle of privatize.
privatizes	verb	The third-person singular form of privatize.
privatizing	verb	The present participle of privatize.
privilege	noun	A privilege is a certain thing that someone is allowed to do or have. That is, not everyone is allowed to do or have it.
privileged	adj	If someone is privileged, they have special rights or advantages in something.
privileges	noun	The plural form of privilege; more than one (kind of) privilege.
prize	noun	A prize is something that you receive for winning or doing well.
